Source URL,Destination (path on speedprojectslab.com),Status,Notes
https://speedprojectslab.com/,/,200,Rebuilt as selling homepage (was splash/chooser)
https://speedprojectslab.com/our-products/,/brands/,301,Merge into brands index
https://speedprojectslab.com/dte-chip-tuning/,/performance/ecu-tuning/dte-chip-tuning/,301,
https://speedprojectslab.com/pro-tuning-freaks-vancouver/,/performance/ecu-tuning/pro-tuning-freaks/,301,
https://speedprojectslab.com/my-account/,/shop/account/,301,PENDING e-commerce decision
https://speedprojectslab.com/shop/,/shop/,200,Path RETAINED — no redirect needed; other domains 301 into it. PENDING e-commerce decision
https://speedprojectslab.com/cart/,/shop/cart/,301,PENDING e-commerce decision
https://speedprojectslab.com/checkout/,/shop/checkout/,301,PENDING e-commerce decision
https://speedprojectslab.com/terms-conditions/,/terms/,301,Canonical of 3 duplicates
https://speedprojectslab.com/sliplo-universal-skid-plate-install-video/,/paint-protection/sliplo/,301,Video embedded on parent page
https://speedprojectslab.com/coding-programming/,/performance/bmw-coding/,301,
https://speedprojectslab.com/ecu-tuning-group/,/performance/ecu-tuning/etg/,301,
https://speedprojectslab.com/tuning-coding/,/performance/ecu-tuning/,301,Canonical of 3 duplicates
https://speedprojectslab.com/reviews/,/reviews/,200,Path RETAINED — no redirect needed; other domains 301 into it. Canonical of 3 duplicates
https://speedprojectslab.com/financing/,/financing/,200,Path RETAINED — no redirect needed; other domains 301 into it. Canonical of 4 duplicates
https://speedprojectslab.com/book-now/,/book/,301,Canonical of 3 duplicates
https://speedprojectslab.com/portfolio/,/work/,301,Canonical of 2 duplicates
https://speedprojectslab.com/ceramicpro/,/paint-protection/ceramic-coating/ceramic-pro/,301,Canonical of 2 duplicates
https://speedprojectslab.com/exoshield-windshield-protection/,/paint-protection/windshield-protection/exoshield/,301,
https://speedprojectslab.com/sliplo/,/paint-protection/sliplo/,301,Canonical of 2 duplicates
https://speedprojectslab.com/brands/,/brands/,200,Path RETAINED — no redirect needed; other domains 301 into it. Canonical of 2 duplicates
https://speedprojectslab.com/site-map/,/sitemap/,301,Canonical of 3 duplicates
https://speedprojectslab.com/xpel-vision-window-film/,/paint-protection/window-tint/xpel-vision/,301,Canonical of 2 duplicates
https://speedprojectslab.com/stek-dynoflex-windshield-protection-film/,/paint-protection/windshield-protection/stek-dynoflex/,301,Canonical of 2 duplicates
https://speedprojectslab.com/home-page/,/,301,Orphan duplicate homepage - remove
https://speedprojectslab.com/thank-you/,/thank-you/,200,Path RETAINED — no redirect needed; other domains 301 into it. Canonical of 3 duplicates
https://speedprojectslab.com/careers/,/careers/,200,Path RETAINED — no redirect needed; other domains 301 into it. Canonical of 2 duplicates
https://speedprojectslab.com/contact-us/,/contact/,301,Canonical of 3 duplicates
https://speedprojectslab.com/xpel-ultimate-paint-protection-film/,/paint-protection/ppf/,301,
https://speedprojectslab.com/revivifycoatings/,/paint-protection/ceramic-coating/revivify/,301,Canonical of 2 duplicates
https://speedprojectslab.com/xpel-ultimate-plus-black-ppf/,/paint-protection/ppf/stealth-matte/,301,Canonical of 2 duplicates
https://speedprojectslab.com/rivian-xpel-paint-protection-film/,/paint-protection/ppf/rivian/,301,Canonical of 2 duplicates
https://speedprojectslab.com/tesla-paint-protection/,/paint-protection/ppf/tesla/,301,
https://speedprojectslab.com/xpel-fusion-plus-ceramic-coating/,/paint-protection/ceramic-coating/xpel-fusion-plus/,301,Canonical of 2 duplicates
https://speedprojectslab.com/window-nano-coating/,/paint-protection/window-tint/nano-coating/,301,Canonical of 2 duplicates
https://speedprojectslab.com/xpel-automotive-window-tint/,/paint-protection/window-tint/xpel-prime-xr/,301,Canonical of 2 duplicates
https://speedprojectslab.com/about-us/,/about/,301,Canonical of 4 duplicates
https://speedprojectslab.com/paint-protection-and-tuning/,/,301,Legacy combined page
https://speedprojectslab.com/blog/,/blog/,200,Path RETAINED — no redirect needed; other domains 301 into it. PENDING blog decision - zero posts exist
https://speedprojectslab.com/project-details/2019-model-3-ceramicpro-ceramic-coating/,/work/2019-model-3-ceramicpro-ceramic-coating/,301,Slug preserved
https://speedprojectslab.com/project-details/chevrolet-camaro-zl1-1le-sliplo-under-bumper-protection/,/work/chevrolet-camaro-zl1-1le-sliplo-under-bumper-protection/,301,Slug preserved
https://speedprojectslab.com/project-details/maserati-levante-ecu-tuning/,/work/maserati-levante-ecu-tuning/,301,Slug preserved
https://speedprojectslab.com/project-details/audi-s5-xpel-ultimate-plus-ppf-ceramicpro-ceramic-coating/,/work/audi-s5-xpel-ultimate-plus-ppf-ceramicpro-ceramic-coating/,301,Slug preserved
https://speedprojectslab.com/project-details/range-rover-sport-iroad-q9-front-and-rear-dashcam-install/,/work/range-rover-sport-iroad-q9-front-and-rear-dashcam-install/,301,Slug preserved
https://speedprojectslab.com/project-details/range-rover-sport-iroad-q9-front-and-rear-dashcam-install-2/,/work/range-rover-sport-iroad-q9-front-and-rear-dashcam-install-2/,301,Slug preserved
https://speedprojectslab.com/project-details/bmw-530i-ceramicpro-ceramic-coating-silver-package/,/work/bmw-530i-ceramicpro-ceramic-coating-silver-package/,301,Slug preserved
https://speedprojectslab.com/project-details/audi-rs3-ceramicpro-ceramic-coating-gold-package/,/work/audi-rs3-ceramicpro-ceramic-coating-gold-package/,301,Slug preserved
https://speedprojectslab.com/project-details/nissan-gtr-2017-mid-pipe-install/,/work/nissan-gtr-2017-mid-pipe-install/,301,Slug preserved
https://speedprojectslab.com/project-details/honda-s2000-xpel-ultimate-plus-mugen-bumper/,/work/honda-s2000-xpel-ultimate-plus-mugen-bumper/,301,Slug preserved
https://speedprojectslab.com/project-details/honda-civic-type-r-ceramicpro-ceramic-coating-bronze-package/,/work/honda-civic-type-r-ceramicpro-ceramic-coating-bronze-package/,301,Slug preserved
https://speedprojectslab.com/project-details/audi-r8-2011-xpel-ultimate-plus-ppf/,/work/audi-r8-2011-xpel-ultimate-plus-ppf/,301,Slug preserved
https://speedprojectslab.com/project-details/lamborghini-aventador-sv-ecu-tuning/,/work/lamborghini-aventador-sv-ecu-tuning/,301,Slug preserved
https://speedprojectslab.com/project-details/fiat-500-abarth-2016-xpel-ultimate-plus-ppf/,/work/fiat-500-abarth-2016-xpel-ultimate-plus-ppf/,301,Slug preserved
https://speedprojectslab.com/project-details/porsche-carrera-997-c2s-2007-ecu-tuning/,/work/porsche-carrera-997-c2s-2007-ecu-tuning/,301,Slug preserved
https://speedprojectslab.com/project-details/mitsubishi-evo-x-turbo-back-exhaust-install/,/work/mitsubishi-evo-x-turbo-back-exhaust-install/,301,Slug preserved
https://speedprojectslab.com/project-details/mercedes-benz-c43-amg-2017-ecu-tuning/,/work/mercedes-benz-c43-amg-2017-ecu-tuning/,301,Slug preserved
https://speedprojectslab.com/project-details/porsche-carrera-991-ecu-tuning/,/work/porsche-carrera-991-ecu-tuning/,301,Slug preserved
https://speedprojectslab.com/project-details/porsche-macan-2015-ecu-tuning-iroad-v9-front-and-rear-dashcam-install/,/work/porsche-macan-2015-ecu-tuning-iroad-v9-front-and-rear-dashcam-install/,301,Slug preserved
https://speedprojectslab.com/project-details/lexus-is300-blackvue-dr750s-2-front-and-rear-dashcam-install/,/work/lexus-is300-blackvue-dr750s-2-front-and-rear-dashcam-install/,301,Slug preserved
https://speedprojectslab.com/project-details/nissan-gtr-thinkware-f800-front-and-rear-dashcam-install/,/work/nissan-gtr-thinkware-f800-front-and-rear-dashcam-install/,301,Slug preserved
https://speedprojectslab.com/project-details/porsche-carrera-t-991-2-ecu-tuning/,/work/porsche-carrera-t-991-2-ecu-tuning/,301,Slug preserved
https://speedprojectslab.com/project-details/bmw-m2-competition-steering-wheel-upgrade/,/work/bmw-m2-competition-steering-wheel-upgrade/,301,Slug preserved
https://speedprojectslab.com/project-details/tesla-model-3-xpel-ultimate-plus-ppf-package-b-and-luggage-option/,/work/tesla-model-3-xpel-ultimate-plus-ppf-package-b-and-luggage-option/,301,Slug preserved
https://speedprojectslab.com/project-details/audi-a5-2018-ecu-tuning/,/work/audi-a5-2018-ecu-tuning/,301,Slug preserved
https://speedprojectslab.com/project-details/bmw-x3-m40i-iroad-x9-front-dashcam-install/,/work/bmw-x3-m40i-iroad-x9-front-dashcam-install/,301,Slug preserved
https://speedprojectslab.com/project-details/golf-r-2018-xpel-ultimate-plus-ppf-full-car/,/work/golf-r-2018-xpel-ultimate-plus-ppf-full-car/,301,Slug preserved
https://speedprojectslab.com/project-details/bmw-335i-iroad-x9-front-and-rear-dashcam-install/,/work/bmw-335i-iroad-x9-front-and-rear-dashcam-install/,301,Slug preserved
